lang,yyyy,mm,n_path,distance_mean_weighted,distance_mean,n_contrib,flow_id
ca,2008,3,553,1851.69550341192,2312.64364437139,895,2
ca,2008,4,427,1079.93273585535,1468.18024041165,748,126
ca,2008,5,517,1251.86659411715,1513.20207227515,793,765
ca,2008,6,349,1830.63051520216,1707.73491524979,566,233
ca,2008,7,305,1089.19346198576,1475.35405229767,475,1207
ca,2008,8,152,1149.04828150451,1267.13289159056,206,297
cs,2003,3,2,82.1232546849337,102.654068356167,5,227
cs,2003,4,3,2863.16140223848,5633.03305395613,6,413
cs,2003,5,9,2248.03241729036,3026.55158305523,13,1039
cs,2003,6,5,954.232264128687,886.40910575728,6,1166
cs,2003,7,1,1802.70266440411,1802.70266440411,1,1341
cs,2003,8,5,2195.27142813576,2374.98414520113,6,1266
cs,2003,9,8,172.489232501276,311.004653147087,22,178
cs,2003,10,6,6199.06376021419,6199.06376021419,6,471
cs,2003,11,7,786.848981071286,1079.57064853296,11,559
cs,2003,12,11,2097.16045522953,2173.72677563824,17,475
cs,2004,1,18,5000.63120674669,5794.75713613102,23,663
cs,2004,2,23,3313.27111553193,2434.54599397722,29,1337
cs,2004,3,22,2214.09627898652,2906.60746108309,30,572
cs,2004,4,13,5719.33637617606,3370.78308668049,20,782
cs,2004,5,24,1872.93246396183,1889.40023126376,27,1245
cs,2004,6,15,2937.47971553606,2756.26480774172,17,838
cs,2004,7,17,976.506840234767,1248.65438584466,27,516
cs,2004,8,23,1677.19273563718,2107.48634245245,34,1086
cs,2004,9,21,1481.55882684674,1775.73497847275,27,467
cs,2004,10,46,1304.78283094307,1607.62869430975,66,185
cs,2004,11,32,1744.0925371627,2175.78470146349,50,1366
cs,2004,12,44,3753.10294890795,3266.83545501753,61,1326
cs,2005,1,66,1378.11947575953,2153.86255917676,129,300
cs,2005,2,54,1437.32019033003,1915.36257337203,94,511
cs,2005,3,94,1979.41971287638,2169.66069927961,134,1351
cs,2005,4,123,2503.84056500721,2990.62133896992,167,446
cs,2005,5,95,2246.95325948484,2129.69044988339,144,1035
cs,2005,6,134,1715.26044130239,1745.90958875753,214,20
cs,2005,7,85,2724.27023325526,2602.57107671238,133,196
cs,2005,8,157,3254.13741587214,3037.7030733509,228,142
cs,2005,9,139,1954.96769842527,2367.40090614225,203,1318
cs,2005,10,213,1910.69473822679,2221.31636950896,359,484
cs,2005,11,208,1623.81388860975,2070.69346781741,349,589
cs,2005,12,324,1738.60132045782,1873.64721341374,523,494
